Call_Type,Call_Type_Group,Unit_Type,Incident_Number
Structure Fire,Alarm,RESCUE CAPTAIN,244
Aircraft Emergency,Alarm,MEDIC,8
Odor (Strange / Unknown),Alarm,MEDIC,114
Alarms,Alarm,CHIEF,75611
Assist Police,Alarm,MEDIC,47
Vehicle Fire,Alarm,TRUCK,3
Fuel Spill,Alarm,RESCUE CAPTAIN,5
Electrical Hazard,Alarm,MEDIC,30
Watercraft in Distress,Alarm,ENGINE,4
Citizen Assist / Service Call,Alarm,CHIEF,782
Watercraft in Distress,Alarm,SUPPORT,1
Assist Police,Alarm,SUPPORT,11
Electrical Hazard,Alarm,ENGINE,6451
Assist Police,Alarm,ENGINE,151
Electrical Hazard,Alarm,SUPPORT,10
Watercraft in Distress,Alarm,MEDIC,1
Aircraft Emergency,Alarm,SUPPORT,6
Odor (Strange / Unknown),Alarm,SUPPORT,9
Odor (Strange / Unknown),Alarm,ENGINE,1298
Elevator / Escalator Rescue,Alarm,RESCUE CAPTAIN,29
Aircraft Emergency,Alarm,ENGINE,16
Other,Alarm,RESCUE CAPTAIN,268
Other,Alarm,PRIVATE,336
Elevator / Escalator Rescue,Alarm,PRIVATE,101
Elevator / Escalator Rescue,Alarm,TRUCK,5333
Other,Alarm,TRUCK,6890
Gas Leak (Natural and LP Gases),Alarm,INVESTIGATION,3
Gas Leak (Natural and LP Gases),Alarm,RESCUE SQUAD,7
Medical Incident,Alarm,MEDIC,47
Structure Fire,Alarm,TRUCK,56137
Fuel Spill,Alarm,PRIVATE,16
Medical Incident,Alarm,ENGINE,970
HazMat,Alarm,TRUCK,144
HazMat,Alarm,PRIVATE,12
Oil Spill,Alarm,ENGINE,2
Smoke Investigation (Outside),Alarm,INVESTIGATION,7
Fuel Spill,Alarm,TRUCK,272
Structure Fire,Alarm,PRIVATE,670
Smoke Investigation (Outside),Alarm,RESCUE SQUAD,25
Outside Fire,Alarm,INVESTIGATION,3
Gas Leak (Natural and LP Gases),Alarm,RESCUE CAPTAIN,39
Medical Incident,Alarm,CHIEF,3
Vehicle Fire,Alarm,RESCUE SQUAD,1
Smoke Investigation (Outside),Alarm,RESCUE CAPTAIN,1
Vehicle Fire,Alarm,INVESTIGATION,1
